"Team","Manager","Full_Name","Age","Nationality","ManagerImage","ManagerCareerPath"
"AFC Bournemouth","Andoni Iraola","Andoni Iraola Sagarna",41,"Spain","https://www.afcb.co.uk/media/217297/andoni-iraola.jpg?anchor=center&mode=crop&width=420&height=640&quality=60","https://i.ibb.co/n73G5tY/Andoni-Iraola.png"
"Arsenal FC","Mikel Arteta","Mikel Arteta Amatriain",41,"Spain","https://dailypost.ng/wp-content/uploads/2022/08/Arteta.jpg","https://i.ibb.co/JHSjBQN/Mikel-Arteta.png"
"Aston Villa","Unai Emery","Unai Emery Etxegoien",51,"Spain","https://www.coachesvoice.com/wp-content/webpc-passthru.php?src=https://www.coachesvoice.com/wp-content/uploads/2021/05/Coach-watch_-Unai-Emery_Mobile.jpg&nocache=1","https://i.ibb.co/2MfCh8X/Unai-Emery.png"
"Brentford FC","Thomas Frank","Thomas Frank",49,"Denmark","https://breakingthelines.com/wp-content/uploads/2022/06/thomasfrank-1.png","https://i.ibb.co/M9TYXYD/Thomas-Frank.png"
"Brighton & Hove Albion","Roberto De Zerbi","Roberto De Zerbi",44,"Italy","https://img.a.transfermarkt.technology/portrait/big/32157-1683271864.jpg?lm=1","https://i.ibb.co/L8QWFbg/Roberto-De-Zerbi.png"
"Burnley FC","Vincent Kompany","Vincent Jean Mpy Kompany",37,"Belgium","https://i2-prod.getreading.co.uk/incoming/article25361466.ece/ALTERNATES/s1200c/0_Burnley-manager-Vincent-Kompany.jpg","https://i.ibb.co/2s4MzV8/Vincent-Kompany.png"
"Chelsea FC","Mauricio Pochettino","Mauricio Roberto Pochettino Troseero",51,"Argentina","https://i2-prod.mirror.co.uk/incoming/article30112454.ece/ALTERNATES/s1200c/1_Mauricio-Pochettino-5.jpg","https://i.ibb.co/Z82VR6M/Mauricio-Pochettino.png"
"Crystal Palace","Roy Hodgson","Roy Hodgson",76,"England","https://i.guim.co.uk/img/media/01b3b80286a28158ee07e3f407effec6c806ff28/4_82_2521_1512/master/2521.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=ce8ce7f592a5f87326779af42c535819","https://i.ibb.co/2KfPzV5/Roy-Hodgson.png"
"Everton FC","Sean Dyche","Sean Mark Dyche",52,"England","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Sean_Dyche.jpg/1200px-Sean_Dyche.jpg","https://i.ibb.co/cN7V03s/Sean-Dyche.png"
"Fulham FC","Marco Silva","Marco Alexandre Saraiva da Silva",46,"Portugal","https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fc91b7612-292e-11ee-b33d-6d3f5a636b40.jpg?crop=3742%2C2494%2C886%2C26","https://i.ibb.co/6H62Mq0/Marco-Silva.png"
"Liverpool FC","Jurgen Klopp","JÃ¼rgen Norbert Klopp",56,"Germany","https://upload.wikimedia.org/wikipedia/commons/8/81/J%C3%BCrgen_Klopp%2C_Liverpool_vs._Chelsea%2C_UEFA_Super_Cup_2019-08-14_04.jpg","https://i.ibb.co/wwZQS25/Jurgen-Klopp.png"
"Luton Town","Rob Edwards","Robert Owen Edwards",40,"England","https://www.watfordfc.com/storage/82324/wfcimages-3393020622-(1).jpg","https://i.ibb.co/71VzhG9/Rob-Edwards.png"
"Manchester City","Pep Guadriola","Josep Guardiola Sala",52,"Spain","https://img.a.transfermarkt.technology/portrait/big/5672-1631172709.jpg?lm=1","https://i.ibb.co/MfJ5tZ2/Pep-Guadriola.png"
"Manchester United","Erik ten Hag","Erik ten Hag",53,"Netherlands","https://img.a.transfermarkt.technology/portrait/big/3816-1535533360.jpg?lm=1","https://i.ibb.co/yqVdshc/Erik-ten-Hag.png"
"Newcastle United","Eddie Howe","Edward John Frank Howe",45,"England","https://i.dailymail.co.uk/1s/2023/09/01/11/74955319-12469853-image-a-29_1693564848989.jpg","https://i.ibb.co/rZ50XpG/Eddie-Howe.png"
"Nottingham Forest","Steve Cooper","Steve Cooper",43,"Wales","https://www.planetsport.com/image-library/land/1200/n/nottingham-forest-manager-steve-cooper.jpg","https://i.ibb.co/tXXbQKh/Steve-Cooper.png"
"Sheffield United","Paul Heckingbottom","Paul Heckingbottom",46,"England","https://i2-prod.examinerlive.co.uk/incoming/article26877096.ece/ALTERNATES/s615/0_Hecky.jpg","https://i.ibb.co/JcjGcwh/Paul-Heckingbottom.png"
"Tottenham Hotspur","Ange Postecoglou","Angelos Postecoglou",58,"Australia","https://static.independent.co.uk/2023/08/18/15/6e4ba1346fa16f5df4091d268fc6d6b2Y29udGVudHNlYXJjaGFwaSwxNjkyNDUzNzY2-2.73253451.jpg","https://i.ibb.co/VMkrWCq/Ange-Postecoglou.png"
"West Ham United","David Moyes","David William Moyes",60,"Scotland","https://static.standard.co.uk/2023/03/31/22/GettyImages-1471189030.jpg?width=968&auto=webp&quality=50&crop=968%3A645%2Csmart","https://i.ibb.co/gZDNLfj/David-Moyes.png"
"Wolverhampton Wanderers","Gary O'Neil","Gary Paul O'Neil",40,"England","https://i.guim.co.uk/img/media/539e060afb453490abbd3a7116285b586b334ae4/0_130_3381_2028/master/3381.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=a3005b8d87ef5ec2958dd44ea700ac6c","https://i.ibb.co/wJwbgqD/Gary-O-Neil.png"
